category,country,first_issuance_at,first_retirement_at,is_compliance,issued,listed_at,name,project_id,project_type,project_type_source,project_url,proponent,protocol,registry,retired,status
forest,United States,2025-01-29 00:00:00+00:00,,FALSE,33895,,Challenge Tree Farm IFM Project,ACR1006,Improved Forest Management,berkeley,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=1006,,['acr-ifm-nonfed'],american-carbon-registry,0,registered
forest,United States,2010-06-29 00:00:00+00:00,2011-11-23 00:00:00+00:00,FALSE,7792791,,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),ACR114,Afforestation + Reforestation,berkeley,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=114,,['acr-affor-refor'],american-carbon-registry,4054462,registered
forest,United States,2016-02-03 00:00:00+00:00,2017-07-20 00:00:00+00:00,FALSE,1710013,,UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project,ACR212,Improved Forest Management,berkeley,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=212,,['acr-ifm-nonfed'],american-carbon-registry,1507287,registered
land-use,United States,2014-10-28 00:00:00+00:00,2015-01-13 00:00:00+00:00,FALSE,166197,,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,ACR222,Avoided Grassland Conversion,berkeley,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=222,,['acr-grasslands'],american-carbon-registry,154052,registered
forest,United States,2016-04-25 00:00:00+00:00,2016-05-18 00:00:00+00:00,FALSE,411399,,Bear Creek Watershed Forest Carbon Project,ACR272,Improved Forest Management,berkeley,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=272,,['acr-ifm-nonfed'],american-carbon-registry,411399,registered
forest,United States,2018-04-12 00:00:00+00:00,2019-03-16 00:00:00+00:00,FALSE,138696,,Anew - Middlebury Forestry Project,ACR368,Improved Forest Management,berkeley,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=368,,['acr-ifm-nonfed'],american-carbon-registry,101789,registered
forest,Brazil,2023-07-28 00:00:00+00:00,2023-08-09 00:00:00+00:00,FALSE,840972,,THE ARR HORIZONTE CARBON PROJECT,VCS3350,Afforestation + Reforestation,berkeley,https://registry.verra.org/app/projectDetail/VCS/3350,Suzano SA,['ar-acm0003'],verra,44725,unknown
forest,United States,2018-11-28 00:00:00+00:00,2018-11-29 00:00:00+00:00,FALSE,271561,,Anew - Shafer-Tuuk Forestry Project,ACR374,Improved Forest Management,berkeley,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=374,,['acr-ifm-nonfed'],american-carbon-registry,228985,registered
forest,United States,2018-11-20 00:00:00+00:00,2019-02-06 00:00:00+00:00,FALSE,221089,,Anew - Hawk Mountain Forestry Project,ACR375,Improved Forest Management,berkeley,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=375,,['acr-ifm-nonfed'],american-carbon-registry,187034,registered
forest,Brazil,2024-03-28 00:00:00+00:00,2024-03-28 00:00:00+00:00,FALSE,151373,,Hiwi REDD+ Project,VCS3002,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/3002,Multiple Proponents,['vm0015'],verra,151373,unknown
